,Partner Name,Specializations Link,Specializations Title ,description,Star Rating 5,Reviwers,meta,Course 1 Title,Course 1 link,Course 1 Duration Hours,Course 1 Rating 5 Stars,Course 1 Number of Raters ,Course 1 enrollment,Course 2 Title,Course 2 link,Course 2 Duration Hours,Course 2 Rating 5 Stars,Course 2 Number of Raters ,Course 2 enrollment,Course 3 Title,Course 3 link,Course 3 Duration Hours,Course 3 Rating 5 Stars,Course 3 Number of Raters ,Course 3 enrollment,Course 4 Title,Course 4 link,Course 4 Duration Hours,Course 4 Rating 5 Stars,Course 4 Number of Raters ,Course 4 enrollment,Course 5 Title,Course 5 link,Course 5 Duration Hours,Course 5 Rating 5 Stars,Course 5 Number of Raters ,Course 5 enrollment,Course 6 Title,Course 6 link,Course 6 Duration Hours,Course 6 Rating 5 Stars,Course 6 Number of Raters ,Course 6 enrollment,Course 7 Title,Course 7 link,Course 7 Duration Hours,Course 7 Rating 5 Stars,Course 7 Number of Raters ,Course 7 enrollment,Course 8 Title,Course 8 link,Course 8 Duration Hours,Course 8 Rating 5 Stars,Course 8 Number of Raters ,Course 8 enrollment,Course 9 Title,Course 9 link,Course 9 Duration Hours,Course 9 Rating 5 Stars,Course 9 Number of Raters ,Course 9 enrollment,Course 10 Title,Course 10 link,Course 10 Duration Hours,Course 10 Rating 5 Stars,Course 10 Number of Raters ,Course 10 enrollment,Course 11 Title,Course 11 link,Course 11 Duration Hours,Course 11 Rating 5 Stars,Course 11 Number of Raters ,Course 11 enrollment,Course 12 Title,Course 12 link,Course 12 Duration Hours,Course 12 Rating 5 Stars,Course 12 Number of Raters ,Course 12 enrollment,Course 13 Title,Course 13 link,Course 13 Duration Hours,Course 13 Rating 5 Stars,Course 13 Number of Raters ,Course 13 enrollment
0,Multiple educators,/specializations/machine-learning-introduction,Machine Learning,"Skills you'll gain: Machine Learning, Probability & Statistics, Machine Learning Algorithms, General Statistics, Theoretical Computer Science, Algorithms, Applied Machine Learning, Artificial Neural Networks, Regression, Econometrics, Computer Programming, Deep Learning, Python Programming, Statistical Programming, Mathematics, Tensorflow, Data Management, Data Structures, Statistical Machine Learning, Reinforcement Learning, Probability Distribution, Mathematical Theory & Analysis, Data Analysis, Data Mining, Linear Algebra, Computer Vision, Calculus, Feature Engineering, Bayesian Statistics, Operations Research, Research and Design, Strategy and Operations, Computational Logic, Accounting, Communication",4.9,15300,Beginner   Specialization   1 - 3 Months,Supervised Machine Learning: Regression and Classification ,/learn/machine-learning?specialization=machine-learning-introduction,15,4.9,13057,417843,Advanced Learning Algorithms,/learn/advanced-learning-algorithms?specialization=machine-learning-introduction,31,4.9,3330,151032,"Unsupervised Learning, Recommenders, Reinforcement Learning",/learn/unsupervised-learning-recommenders-reinforcement-learning?specialization=machine-learning-introduction,26,4.9,1633,113998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,IBM,/specializations/introduction-data-science,Introduction to Data Science,"Skills you'll gain: Data Science, SQL, Databases, R Programming, Data Management, Data Mining, Regression, Statistical Programming, Data Structures, Python Programming, Applied Machine Learning, Artificial Neural Networks, Big Data, Cloud Computing, Cloud Engineering, Cloud Platforms, Cloud Storage, Computer Programming, Computer Programming Tools, Data Analysis, Data Analysis Software, Data Visualization Software, Database Administration, Database Application, Deep Learning, Devops Tools, Feature Engineering, General Statistics, IBM Cloud, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Probability & Statistics, SPSS, Software Visualization, Statistical Machine Learning, Storytelling, Writing",4.6,82900,Beginner   Specialization   3 - 6 Months,What is Data Science? ,/learn/what-is-datascience?specialization=introduction-data-science,7,4.7,64783,837099,Tools for Data Science,/learn/open-source-tools-for-data-science?specialization=introduction-data-science,17,4.5,27142,400805,Data Science Methodology,/learn/data-science-methodology?specialization=introduction-data-science,8,4.6,19340,256874,Databases and SQL for Data Science with Python,/learn/sql-data-science?specialization=introduction-data-science,31,4.6,18138,365102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,IBM,/specializations/key-technologies-for-business,Key Technologies for Business,"Skills you'll gain: Data Science, Cloud Computing, Applied Machine Learning, Cloud Infrastructure, Data Mining, Regression, Cloud Applications, Cloud Engineering, Cloud Management, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Network Security, Software As A Service, Artificial Neural Networks, Big Data, BlockChain, Cloud-Based Integration, Computer Architecture, Computer Graphics, Computer Programming, Computer Vision, Deep Learning, Finance, General Statistics, Human Computer Interaction, Interactive Design, Machine Learning, Machine Learning Algorithms, Operating Systems, Probability & Statistics, Security Engineering, Software Architecture, Software Engineering, Software Framework, Storytelling, System Programming, Theoretical Computer Science, Writing",4.7,79100,Beginner   Specialization   1 - 3 Months,Introduction to Cloud Computing,/learn/introduction-to-cloud?specialization=key-technologies-for-business,12,4.6,4208,220809,Introduction to Artificial Intelligence AI),/learn/introduction-to-ai?specialization=key-technologies-for-business,9,4.7,11235,242963,What is Data Science? ,/learn/what-is-datascience?specialization=key-technologies-for-business,7,4.7,64783,837099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,IBM,/specializations/data-science-fundamentals-python-sql,Data Science Fundamentals with Python and SQL,"Skills you'll gain: Python Programming, General Statistics, Probability & Statistics, SQL, Data Structures, Databases, Data Analysis, Programming Principles, Statistical Programming, Business Analysis, Data Science, Statistical Analysis, Data Management, Probability Distribution, R Programming, Statistical Tests, Basic Descriptive Statistics, Correlation And Dependence, Data Visualization, Plot Graphics), Regression, Statistical Visualization, Computer Programming, Extract, Transform, Load, Cloud Engineering, Cloud Platforms, Cloud Storage, Computational Logic, Computer Programming Tools, Data Analysis Software, Data Visualization Software, Database Administration, Database Application, Devops Tools, IBM Cloud, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Mathematical Theory & Analysis, Mathematics, SPSS, Software Visualization, Theoretical Computer Science",4.5,57500,Beginner   Specialization   3 - 6 Months,Tools for Data Science,/learn/open-source-tools-for-data-science?specialization=data-science-fundamentals-python-sql,17,4.5,27142,400805,"Python for Data Science, AI & Development",/learn/python-for-applied-data-science-ai?specialization=data-science-fundamentals-python-sql,23,4.6,32979,632434,Python Project for Data Science,/learn/python-project-for-data-science?specialization=data-science-fundamentals-python-sql,8,4.5,3490,153477,Statistics for Data Science with Python,/learn/statistics-for-data-science-python?specialization=data-science-fundamentals-python-sql,14,4.5,331,25259,Databases and SQL for Data Science with Python,/learn/sql-data-science?specialization=data-science-fundamentals-python-sql,31,4.6,18138,365102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,University of Virginia Darden School Foundation,/specializations/digital-strategy,IBM & Darden Digital Strategy,"Skills you'll gain: Entrepreneurship, Strategy and Operations, Business Analysis, Business Transformation, Leadership and Management, Marketing, Sales, Strategy, Cloud Computing, Research and Design, Data Science, Data Analysis, Applied Machine Learning, Business Design, Market Analysis, Cloud Infrastructure, Data Management, Databases, Python Programming, SQL, Innovation, Big Data, Cloud Applications, Cloud Engineering, Cloud Management, Cloud Platforms, Cloud Storage, Data Mining, Data Structures, Data Visualization, Data Warehousing, DevOps, General Statistics, IBM Cloud, Mathematics, Network Security, NoSQL, R Programming, Software As A Service, Apache, BlockChain, Business Psychology, Change Management, Cloud-Based Integration, Computer Architecture, Computer Graphics, Computer Networking, Computer Programming, Computer Vision, Data Visualization Software, Deep Learning, Design and Product, Digital Marketing, Extract, Transform, Load, Finance, Human Computer Interaction, Interactive Design, Internet Of Things, Machine Learning, Machine Learning Algorithms, Microsoft Excel, Operating Systems, Organizational Development, Product Strategy, Professional Development, SAS Software), SPSS, Security Engineering, Software Architecture, Software Engineering, Software Framework, System Programming, Theoretical Computer Science",4.7,27800,Beginner   Specialization   3 - 6 Months,Introduction to Artificial Intelligence AI),/learn/introduction-to-ai?specialization=digital-strategy,9,4.7,11235,242963,"""The Strategist s Challenge"", ",/learn/strategists-challenge?specialization=digital-strategy,5,4.7,42,3902,Introduction to Data Analytics,/learn/introduction-to-data-analytics?specialization=digital-strategy,10,4.8,12589,376610,Introduction to Cloud Computing,/learn/introduction-to-cloud?specialization=digital-strategy,12,4.6,4208,220809,Introduction to Digital Transformation Part 1,/learn/introduction-to-digital-transformation-part-1?specialization=digital-strategy,4,4.6,78,3367,Introduction to Digital Transformation Part 2,/learn/digital-transformation-part-2?specialization=digital-strategy,4,4.7,33,2086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,IBM ,/specializations/ibm-ai-foundations-for-business,IBM AI Foundations for Business,"Skills you'll gain: Data Science, Applied Machine Learning, Data Management, Leadership and Management, Data Mining, Machine Learning, Regression, Artificial Neural Networks, Cloud Computing, Cloud Platforms, Data Architecture, Database Administration, Databases, Deep Learning, Big Data, Computer Vision, Data Analysis, General Statistics, IBM Cloud, Innovation, Machine Learning Algorithms, Probability & Statistics, Storytelling, Writing",4.7,75400,Beginner   Specialization   1 - 3 Months,Introduction to Artificial Intelligence AI),/learn/introduction-to-ai?specialization=ibm-ai-foundations-for-business,9,4.7,11235,242963,What is Data Science? ,/learn/what-is-datascience?specialization=ibm-ai-foundations-for-business,7,4.7,64783,837099,The AI Ladder: A Framework for Deploying AI in your Enterprise,/learn/ibm-ai-ladder-framework?specialization=ibm-ai-foundations-for-business,2,4.7,286,6326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IBM,/specializations/data-analysis-visualization-foundations,Data Analysis and Visualization Foundations,"Skills you'll gain: Data Analysis, Microsoft Excel, Data Visualization, Business Analysis, Spreadsheet Software, Plot Graphics), Data Analysis Software, Data Management, Databases, Python Programming, SQL, Statistical Visualization, Big Data, Data Mining, Data Science, Data Structures, Data Warehousing, General Statistics, Mathematics, NoSQL, R Programming, Accounting, Apache, Cloud Computing, Computer Programming, Data Visualization Software, Extract, Transform, Load, Interactive Data Visualization, Leadership and Management, Machine Learning, Operating Systems, Professional Development, SAS Software), SPSS, System Programming",4.7,1800,Beginner   Specialization   3 - 6 Months,Introduction to Data Analytics,/learn/introduction-to-data-analytics?specialization=data-analysis-visualization-foundations,10,4.8,12589,376610,Excel Basics for Data Analysis,/learn/excel-basics-data-analysis-ibm?specialization=data-analysis-visualization-foundations,11,4.8,6260,226675,Data Visualization and Dashboards with Excel and Cognos,/learn/data-visualization-dashboards-excel-cognos?specialization=data-analysis-visualization-foundations,9,4.7,2956,96986,Assessment for Data Analysis and Visualization Foundations,/learn/data-analysis-visualization-foundations-assessment?specialization=data-analysis-visualization-foundations,1,4.5,151,8173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IBM,/specializations/applied-data-science,Applied Data Science,"Skills you'll gain: Python Programming, Statistical Programming, Data Structures, Data Visualization, Data Science, Programming Principles, Data Analysis, Computer Programming, Statistical Visualization, Applied Machine Learning, Exploratory Data Analysis, Machine Learning, Regression, Statistical Tests, Data Management, Extract, Transform, Load, Plot Graphics), Interactive Data Visualization, Machine Learning Algorithms, SQL, Geovisualization, Algebra, Algorithms, Basic Descriptive Statistics, Business Analysis, Computational Logic, Computer Programming Tools, Correlation And Dependence, Data Analysis Software, Data Mining, Databases, Econometrics, General Statistics, IBM Cloud, Mathematical Theory & Analysis, Mathematics, Probability & Statistics, Spreadsheet Software, Statistical Analysis, Statistical Machine Learning, Theoretical Computer Science",4.6,47100,Beginner   Specialization   3 - 6 Months,"Python for Data Science, AI & Development",/learn/python-for-applied-data-science-ai?specialization=applied-data-science,23,4.6,32979,632434,Python Project for Data Science,/learn/python-project-for-data-science?specialization=applied-data-science,8,4.5,3490,153477,Data Analysis with Python,/learn/data-analysis-with-python?specialization=applied-data-science,14,4.7,17024,357472,Data Visualization with Python,/learn/python-for-data-visualization?specialization=applied-data-science,19,4.5,11122,229657,Applied Data Science Capstone,/learn/applied-data-science-capstone?specialization=applied-data-science,17,4.7,6730,138969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,IBM,/specializations/data-engineering-foundations,Data Engineering Foundations,"Skills you'll gain: Data Structures, Data Management, Databases, Python Programming, SQL, Data Engineering, Data Model, Database Theory, Programming Principles, Extract, Transform, Load, Data Architecture, Database Administration, Database Application, Database Design, PostgreSQL, Statistical Programming, Apache, Big Data, Data Analysis, Data Warehousing, Leadership and Management, Network Security, Professional Development, Security Engineering, Cloud Engineering, Cloud Platforms, Cloud Storage, Computational Logic, Computer Architecture, Computer Networking, Computer Programming, Computer Programming Tools, Data Science, Distributed Computing Architecture, IBM Cloud, Mathematical Theory & Analysis, Mathematics, NoSQL, Project Management, Security Strategy, Strategy and Operations, Theoretical Computer Science",4.6,43600,Beginner   Specialization   3 - 6 Months,Introduction to Data Engineering,/learn/introduction-to-data-engineering?specialization=data-engineering-foundations,12,4.7,1947,94873,"Python for Data Science, AI & Development",/learn/python-for-applied-data-science-ai?specialization=data-engineering-foundations,23,4.6,32979,632434,Python Project for Data Engineering,/learn/python-project-for-data-engineering?specialization=data-engineering-foundations,6,4.6,431,29103,Introduction to Relational Databases RDBMS),/learn/introduction-to-relational-databases?specialization=data-engineering-foundations,18,4.7,408,34711,Databases and SQL for Data Science with Python,/learn/sql-data-science?specialization=data-engineering-foundations,31,4.6,18138,365102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DeepLearning.AI,/specializations/deep-learning,Deep Learning,"Skills you'll gain: Deep Learning, Machine Learning, Artificial Neural Networks, Python Programming, Statistical Programming, Machine Learning Algorithms, Linear Algebra, Applied Machine Learning, Statistical Machine Learning, Dimensionality Reduction, Feature Engineering, Probability & Statistics, Business Psychology, Entrepreneurship, Machine Learning Software, Computer Vision, Marketing, General Statistics, Natural Language Processing, Computer Programming, Leadership and Management, Project Management, Regression, Sales, Strategy, Strategy and Operations, Tensorflow, Differential Equations, Mathematics, Applied Mathematics, Decision Making, Supply Chain Systems, Supply Chain and Logistics, Advertising, Communication, Estimation, Forecasting, Mathematical Theory & Analysis, Statistical Visualization, Calculus, Algorithms, Theoretical Computer Science, Bayesian Statistics, Probability Distribution, Statistical Tests, Big Data, Computer Architecture, Computer Networking, Data Management, Human Computer Interaction, Network Architecture, User Experience, Algebra, Computational Logic, Computer Graphic Techniques, Computer Graphics, Data Structures, Data Visualization, Hardware Design, Interactive Design, Markov Model, Network Model",4.8,140500,Intermediate   Specialization   3 - 6 Months,Neural Networks and Deep Learning,/learn/neural-networks-deep-learning?specialization=deep-learning,24,4.9,119375,1226626,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",/learn/deep-neural-network?specialization=deep-learning,23,4.9,62342,510650,Structuring Machine Learning Projects,/learn/machine-learning-projects?specialization=deep-learning,6,4.8,49318,428838,Convolutional Neural Networks,/learn/convolutional-neural-networks?specialization=deep-learning,35,4.9,41650,468548,Sequence Models,/learn/nlp-sequence-models?specialization=deep-learning,34,4.8,29494,379331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
