Url,Partner,,Type,Rating,Rating, reviews,Enroll,Level
/specializations/american-english-pronunciation,"University of California, Irvine",The Pronunciation of American English,SPECIALIZATION,Rated 4.8 out of five stars. 501 reviews,4.8,501,32K students,Beginner
/specializations/python,University of Michigan,Python for Everybody,SPECIALIZATION,Rated 4.8 out of five stars. 232975 reviews,4.8,"232,975",2.5M students,Beginner
/specializations/mba,University of London,International Business Essentials,SPECIALIZATION,Rated 4.6 out of five stars. 1524 reviews,4.6,"1,524",51K students,Intermediate
/specializations/social-media-marketing,Northwestern University,Social Media Marketing,SPECIALIZATION,Rated 4.6 out of five stars. 4855 reviews,4.6,"4,855",180K students,Beginner
/specializations/statistical-inference-for-data-science-applications,University of Colorado Boulder,Statistical Inference for Data Science Applications,SPECIALIZATION,Rated 4.3 out of five stars. 9 reviews,4.3,9,3.9K students,Intermediate
/specializations/business-english,University of Washington,Business English Communication Skills,SPECIALIZATION,Rated 4.8 out of five stars. 3600 reviews,4.8,"3,600",230K students,Intermediate
/specializations/ui-ux-design,California Institute of the Arts,UI / UX Design,SPECIALIZATION,Rated 4.7 out of five stars. 5448 reviews,4.7,"5,448",190K students,Beginner
/specializations/conflict-management,"University of California, Irvine",Conflict Management,SPECIALIZATION,Rated 4.4 out of five stars. 1675 reviews,4.4,"1,675",91K students,Beginner
/specializations/good-with-words,University of Michigan,Good with Words: Writing and Editing,SPECIALIZATION,Rated 4.7 out of five stars. 1338 reviews,4.7,"1,338",64K students,Beginner
/specializations/logic-critical-thinking-duke,Duke University,Introduction to Logic and Critical Thinking,SPECIALIZATION,Rated 4.6 out of five stars. 2854 reviews,4.6,"2,854",300K students,Beginner
/specializations/data-analytics-business,University of Colorado Boulder,Advanced Business Analytics,SPECIALIZATION,Rated 4.6 out of five stars. 4416 reviews,4.6,"4,416",200K students,Intermediate
/specializations/deep-learning,DeepLearning.AI,Deep Learning,SPECIALIZATION,Rated 4.8 out of five stars. 126317 reviews,4.8,"126,317",1.1M students,Intermediate
/specializations/sustainable-transformation,University of Colorado Boulder,Leading Sustainable Community Transformation,SPECIALIZATION,Rated 4.3 out of five stars. 112 reviews,4.3,112,6.5K students,Beginner
/specializations/abnormal-psychology,Wesleyan University,Abnormal Psychology,SPECIALIZATION,,,,,Beginner
/specializations/excel,Macquarie University,Excel Skills for Business,SPECIALIZATION,Rated 4.9 out of five stars. 46870 reviews,4.9,"46,870",700K students,Beginner
/specializations/graphic-design,California Institute of the Arts,Graphic Design,SPECIALIZATION,Rated 4.7 out of five stars. 16303 reviews,4.7,"16,303",590K students,Beginner
/specializations/organizational-leadership,Northwestern University,Organizational Leadership,SPECIALIZATION,Rated 4.7 out of five stars. 3699 reviews,4.7,"3,699",130K students,Intermediate
/specializations/computerforensics,Infosec,Computer Forensics,SPECIALIZATION,Rated 4.8 out of five stars. 16 reviews,4.8,16,,Intermediate
/specializations/information-security,"University of California, Irvine",Introduction to Cybersecurity & Risk Management,SPECIALIZATION,Rated 4.7 out of five stars. 65 reviews,4.7,65,4.4K students,Beginner
/specializations/information-visualization,New York University,Information Visualization,SPECIALIZATION,Rated 4.5 out of five stars. 327 reviews,4.5,327,17K students,Beginner
/specializations/blockchain,University at Buffalo,Blockchain,SPECIALIZATION,Rated 4.6 out of five stars. 6292 reviews,4.6,"6,292",160K students,Intermediate
/specializations/product-ideation-design-and-management,"University of Maryland, College Park","Product Ideation, Design, and Management",SPECIALIZATION,Rated 4.3 out of five stars. 28 reviews,4.3,28,,Beginner
/specializations/unity-xr,Unity,Unity XR: How to Build AR and VR Apps,SPECIALIZATION,Rated 4.1 out of five stars. 220 reviews,4.1,220,27K students,Beginner
/specializations/emarketing,"University of California, Irvine",E-Marketing,SPECIALIZATION,Rated 4.7 out of five stars. 133 reviews,4.7,133,3.7K students,Beginner
/specializations/wharton-entrepreneurship,University of Pennsylvania,Entrepreneurship,SPECIALIZATION,Rated 4.8 out of five stars. 4739 reviews,4.8,"4,739",140K students,Beginner
/specializations/gis,"University of California, Davis",Geographic Information Systems (GIS),SPECIALIZATION,Rated 4.8 out of five stars. 5323 reviews,4.8,"5,323",130K students,Beginner
/specializations/business-analytics,University of Pennsylvania,Business Analytics,SPECIALIZATION,Rated 4.6 out of five stars. 15735 reviews,4.6,"15,735",360K students,Beginner
/specializations/seo,"University of California, Davis",Search Engine Optimization (SEO),SPECIALIZATION,Rated 4.6 out of five stars. 9762 reviews,4.6,"9,762",250K students,Beginner
/specializations/advanced-statistics-data-science,Johns Hopkins University,Advanced Statistics for Data Science,SPECIALIZATION,Rated 4.5 out of five stars. 595 reviews,4.5,595,91K students,Advanced
/specializations/machine-learning-engineering-for-production-mlops,DeepLearning.AI,Machine Learning Engineering for Production (MLOps),SPECIALIZATION,Rated 4.7 out of five stars. 872 reviews,4.7,872,28K students,Advanced
/specializations/user-interface-design,University of Minnesota,User Interface Design,SPECIALIZATION,Rated 4.6 out of five stars. 1420 reviews,4.6,"1,420",71K students,Intermediate
/specializations/project-management,"University of California, Irvine",Project Management Principles and Practices,SPECIALIZATION,Rated 4.7 out of five stars. 25336 reviews,4.7,"25,336",430K students,Beginner
/specializations/mathematics-machine-learning,Imperial College London,Mathematics for Machine Learning,SPECIALIZATION,Rated 4.6 out of five stars. 11756 reviews,4.6,"11,756",280K students,Beginner
/specializations/jhu-data-science,Johns Hopkins University,Data Science,SPECIALIZATION,Rated 4.5 out of five stars. 47600 reviews,4.5,"47,600",1.1M students,Beginner
/specializations/modern-contemporary-art-design,The Museum of Modern Art,Modern and Contemporary Art and Design,SPECIALIZATION,Rated 4.8 out of five stars. 12701 reviews,4.8,"12,701",1M students,Beginner
/specializations/full-stack-react,The Hong Kong University of Science and Technology,Full-Stack Web Development with React,SPECIALIZATION,Rated 4.7 out of five stars. 10220 reviews,4.7,"10,220",320K students,Intermediate
/specializations/salesforce-fundamentals,"University of California, Irvine",Salesforce Fundamentals,SPECIALIZATION,Rated 4.4 out of five stars. 77 reviews,4.4,77,6.2K students,Beginner
/specializations/cloudera-big-data-analysis-sql,Cloudera,Modern Big Data Analysis with SQL,SPECIALIZATION,Rated 4.8 out of five stars. 1133 reviews,4.8,"1,133",46K students,Beginner
/specializations/photography-basics,Michigan State University,Photography Basics and Beyond: From Smartphone to DSLR,SPECIALIZATION,Rated 4.7 out of five stars. 5392 reviews,4.7,"5,392",260K students,Beginner
/specializations/firstprinciplesofcomputervision,Columbia University,First Principles of Computer Vision,SPECIALIZATION,,,,,Beginner
/specializations/spring-framework,LearnQuest,Spring Framework,SPECIALIZATION,,,,,Beginner
/specializations/intro-cyber-security,New York University,Introduction to Cyber Security,SPECIALIZATION,Rated 4.7 out of five stars. 2368 reviews,4.7,"2,368",54K students,Beginner
/specializations/microsoft-azure-dp-203-data-engineering,Microsoft,Microsoft Azure Data Engineering Associate DP-203 Exam Prep,SPECIALIZATION,Rated 4.9 out of five stars. 7 reviews,4.9,7,,Intermediate
/specializations/analysing-numeric-digital-literacies,Macquarie University,Analysing: Numeric and digital literacies,SPECIALIZATION,Rated 4.6 out of five stars. 754 reviews,4.6,754,26K students,Beginner
/specializations/key-technologies-data-analytics,LearnQuest,Key Technologies in Data Analytics,SPECIALIZATION,Rated 3.8 out of five stars. 18 reviews,3.8,18,,Beginner
/specializations/michiganux,University of Michigan,User Experience Research and Design,SPECIALIZATION,Rated 4.8 out of five stars. 1471 reviews,4.8,"1,471",67K students,Beginner
/specializations/secure-software-design,University of Colorado System,Secure Software Design,SPECIALIZATION,Rated 4.6 out of five stars. 315 reviews,4.6,315,16K students,Beginner
/specializations/javascript-security,Infosec,JavaScript Security,SPECIALIZATION,,,,,Intermediate
/specializations/vital-skills-for-data-science,University of Colorado Boulder,Vital Skills for Data Science,SPECIALIZATION,Rated 4.6 out of five stars. 19 reviews,4.6,19,2K students,Intermediate
/learn/positive-psychology-project,University of Pennsylvania,Positive Psychology Specialization Project: Design Your Life for Well-being,COURSE,Rated 4.8 out of five stars. 631 reviews,4.8,631,18K students,Mixed
/learn/cad-bim-shiwu,National Taiwan University,CAD/BIM技術與應用專項課程（CAD/BIM Specialization),COURSE,,,,,Mixed
/learn/scale-up-specialization-capstone,IE Business School,Scale Up Specialization Capstone,COURSE,,,,,Intermediate
/professional-certificates/google-ux-design,Google,Google UX Design,PROFESSIONAL CERTIFICATE,Rated 4.8 out of five stars. 10967 reviews,4.8,"10,967",230K students,Beginner
/specializations/introduction-data-science,IBM,Introduction to Data Science,SPECIALIZATION,Rated 4.6 out of five stars. 59512 reviews,4.6,"59,512",590K students,Beginner
/specializations/data-science-fundamentals-python-sql,IBM,Data Science Fundamentals with Python and SQL,SPECIALIZATION,Rated 4.6 out of five stars. 39533 reviews,4.6,"39,533",490K students,Beginner
